,,,,,,,,Python,Java,JavaScript,C,Ruby,Shell,C++,C#,.NET,HTML,NodeJS,AngularJS,SDK,GIT,SCM,Kubernetes,Serverless,IaaC,Microservices,Docker,Ensemble,Safe,Puppet,CICD,Lambda,SQS,SQL,NoSQL,DynamoDB,AWS,GCP,Azure,ELK,EKS,NIST,CIS,ISO 27001,GDPR,CIS v7,CEH,CISSP,CISA,CISM,CompTIA Security+
C,y,b,e,r,s,e,c,u,r,i,t,y, ,M,a,n,a,g,e,r
1,Cybersecurity Operations Manager,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,Software Development,c++,python,operations management,Identity Access Management","1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
2,Manager / Senior Manager - Cybersecurity,Protiviti India Member Private limited,8,13,NA,NA,"Mobile Security,SNORT,Cyber Security,Application Security,Oscp,Penetration Testing,Vapt,Ceh","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0"
3,Cybersecurity - IT Policy/governance Regional Manager,SAC Management India,10,15,NA,NA,"Patch management,ISMS,ISO,Staffing,Information security,Process improvement,SMS,Information technology","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
4,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,4,5,NA,NA,"cloud security,cyber security,Information security,OWASP,Security testing,Application security,Mobile applications,Stakeholder management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
5,Assistant Manager - Cyber Security and Privacy,Protiviti India Member Private limited,4,8,NA,NA,"Information Security Management,Cyber Security,Risk Assessment,Management Consulting,Client Relationship Management,Practice Management,Network Security,International Business","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0"
6,Senior Project Manager,ExecBoardinAsia,12,16,NA,NA,"Front office,CSS,cyber security,Information security,Finance,Resourcing,Banking,Network security","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,Lead- Cyber Security ( Manager / Sr. Manager),Spark Minda,12,17,NA,NA,"Cism,Cyber Security,Vapt","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,Unit Manager - Cyber Security Analyst (attacks and frauds),Bajaj Finance Limited,3,6,5.0,10.0,"Security Analysis,Cyber Security,attack,Fraud Analytics","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"Manager, Cyber Security Engineering",ExecBoardinAsia,11,15,NA,NA,"Training,Career development,cyber security,Coding,Talent acquisition,Agile,Technical Lead,Management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,"Manager, Cyber Security Engineering",Infoblox,4,6,NA,NA,"IT Skills,Java,Python,Testing,Cloud,DevOps,Javascript,Computer science","1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
11,Technology Risk and Process Manager,ExecBoardinAsia,5,10,NA,NA,"Process audit,cyber security,Bfsi,Financial sector,Trend analysis,Manager Technology,data privacy,Continuous improvement","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,Security Delivery Manager,ExecBoardinAsia,11,15,NA,NA,"remediation,cyber security,Access management,Staffing,SOC,Firmware,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,6,8,NA,NA,"Operations management,Automation,orchestration,cyber security,SOC,SIEM,Incident management,Security operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,Deputy General Manager - Managed Services Operations,ExecBoardinAsia,8,12,NA,NA,"Product engineering,Managed services,cyber security,SOC,Process improvement,Business strategy,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,Security Manager,Optimum InfoSystem Pvt. Ltd.,9,14,NA,NA,"IT Audit,Cyber Security,Information Security,Security Management,Third party risk assesment.3rd party,Govarnance,3rd party security risk","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,Program Manager - Cyber Security - Cloud eLearning/EdTech,Simply People,4,7,NA,NA,"academic operations,Cyber Security,Program Manager,program management,Education Operations,eLearning","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
17,Cybersecurity Operations Manager,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,Software Development,c++,python,operations management,Identity Access Management","1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
18,Manager / Senior Manager - Cybersecurity,Protiviti India Member Private limited,8,13,NA,NA,"Mobile Security,SNORT,Cyber Security,Application Security,Oscp,Penetration Testing,Vapt,Ceh","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0"
19,Cybersecurity - IT Policy/governance Regional Manager,SAC Management India,10,15,NA,NA,"Patch management,ISMS,ISO,Staffing,Information security,Process improvement,SMS,Information technology","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
20,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,4,5,NA,NA,"cloud security,cyber security,Information security,OWASP,Security testing,Application security,Mobile applications,Stakeholder management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
21,Assistant Manager - Cyber Security and Privacy,Protiviti India Member Private limited,4,8,NA,NA,"Information Security Management,Cyber Security,Risk Assessment,Management Consulting,Client Relationship Management,Practice Management,Network Security,International Business","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0"
22,Senior Project Manager,ExecBoardinAsia,12,16,NA,NA,"Front office,CSS,cyber security,Information security,Finance,Resourcing,Banking,Network security","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
23,Lead- Cyber Security ( Manager / Sr. Manager),Spark Minda,12,17,NA,NA,"Cism,Cyber Security,Vapt","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24,Unit Manager - Cyber Security Analyst (attacks and frauds),Bajaj Finance Limited,3,6,5.0,10.0,"Security Analysis,Cyber Security,attack,Fraud Analytics","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
25,"Manager, Cyber Security Engineering",ExecBoardinAsia,11,15,NA,NA,"Training,Career development,cyber security,Coding,Talent acquisition,Agile,Technical Lead,Management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
26,"Manager, Cyber Security Engineering",Infoblox,4,6,NA,NA,"IT Skills,Java,Python,Testing,Cloud,DevOps,Javascript,Computer science","1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
27,Technology Risk and Process Manager,ExecBoardinAsia,5,10,NA,NA,"Process audit,cyber security,Bfsi,Financial sector,Trend analysis,Manager Technology,data privacy,Continuous improvement","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
28,Security Delivery Manager,ExecBoardinAsia,11,15,NA,NA,"remediation,cyber security,Access management,Staffing,SOC,Firmware,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
29,Security Manager,Optimum InfoSystem Pvt. Ltd.,9,14,NA,NA,"IT Audit,Cyber Security,Information Security,Security Management,Third party risk assesment.3rd party,Govarnance,3rd party security risk","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
30,Program Manager - Cyber Security - Cloud eLearning/EdTech,Simply People,4,7,NA,NA,"academic operations,Cyber Security,Program Manager,program management,Education Operations,eLearning","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
31,Cybersecurity Operations Manager,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,Software Development,c++,python,operations management,Identity Access Management","1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
32,Manager / Senior Manager - Cybersecurity,Protiviti India Member Private limited,8,13,NA,NA,"Mobile Security,SNORT,Cyber Security,Application Security,Oscp,Penetration Testing,Vapt,Ceh","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0"
33,Assistant Manager - Cyber Security and Privacy,Protiviti India Member Private limited,4,8,NA,NA,"Information Security Management,Cyber Security,Risk Assessment,Management Consulting,Client Relationship Management,Practice Management,Network Security,International Business","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0"
34,Senior Project Manager,ExecBoardinAsia,12,16,NA,NA,"Front office,CSS,cyber security,Information security,Finance,Resourcing,Banking,Network security","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
35,Lead- Cyber Security ( Manager / Sr. Manager),Spark Minda,12,17,NA,NA,"Cism,Cyber Security,Vapt","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
36,Unit Manager - Cyber Security Analyst (attacks and frauds),Bajaj Finance Limited,3,6,5.0,10.0,"Security Analysis,Cyber Security,attack,Fraud Analytics","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
37,"Manager, Cyber Security Engineering",ExecBoardinAsia,11,15,NA,NA,"Training,Career development,cyber security,Coding,Talent acquisition,Agile,Technical Lead,Management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
38,"Manager, Cyber Security Engineering",Infoblox,4,6,NA,NA,"IT Skills,Java,Python,Testing,Cloud,DevOps,Javascript,Computer science","1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
39,Technology Risk and Process Manager,ExecBoardinAsia,5,10,NA,NA,"Process audit,cyber security,Bfsi,Financial sector,Trend analysis,Manager Technology,data privacy,Continuous improvement","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
40,Security Delivery Manager,ExecBoardinAsia,11,15,NA,NA,"remediation,cyber security,Access management,Staffing,SOC,Firmware,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
41,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,6,8,NA,NA,"Operations management,Automation,orchestration,cyber security,SOC,SIEM,Incident management,Security operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
42,Deputy General Manager - Managed Services Operations,ExecBoardinAsia,8,12,NA,NA,"Product engineering,Managed services,cyber security,SOC,Process improvement,Business strategy,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
43,Security Manager,Optimum InfoSystem Pvt. Ltd.,9,14,NA,NA,"IT Audit,Cyber Security,Information Security,Security Management,Third party risk assesment.3rd party,Govarnance,3rd party security risk","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
44,Program Manager - Cyber Security - Cloud eLearning/EdTech,Simply People,4,7,NA,NA,"academic operations,Cyber Security,Program Manager,program management,Education Operations,eLearning","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
45,Cybersecurity Operations Manager,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,Software Development,c++,python,operations management,Identity Access Management","1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
46,Manager / Senior Manager - Cybersecurity,Protiviti India Member Private limited,8,13,NA,NA,"Mobile Security,SNORT,Cyber Security,Application Security,Oscp,Penetration Testing,Vapt,Ceh","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0"
47,Cybersecurity - IT Policy/governance Regional Manager,SAC Management India,10,15,NA,NA,"Patch management,ISMS,ISO,Staffing,Information security,Process improvement,SMS,Information technology","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
48,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,4,5,NA,NA,"cloud security,cyber security,Information security,OWASP,Security testing,Application security,Mobile applications,Stakeholder management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
49,Assistant Manager - Cyber Security and Privacy,Protiviti India Member Private limited,4,8,NA,NA,"Information Security Management,Cyber Security,Risk Assessment,Management Consulting,Client Relationship Management,Practice Management,Network Security,International Business","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0"
50,Senior Project Manager,ExecBoardinAsia,12,16,NA,NA,"Front office,CSS,cyber security,Information security,Finance,Resourcing,Banking,Network security","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
51,Lead- Cyber Security ( Manager / Sr. Manager),Spark Minda,12,17,NA,NA,"Cism,Cyber Security,Vapt","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
52,Unit Manager - Cyber Security Analyst (attacks and frauds),Bajaj Finance Limited,3,6,5.0,10.0,"Security Analysis,Cyber Security,attack,Fraud Analytics","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
53,"Manager, Cyber Security Engineering",ExecBoardinAsia,11,15,NA,NA,"Training,Career development,cyber security,Coding,Talent acquisition,Agile,Technical Lead,Management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
54,"Manager, Cyber Security Engineering",Infoblox,4,6,NA,NA,"IT Skills,Java,Python,Testing,Cloud,DevOps,Javascript,Computer science","1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
55,Technology Risk and Process Manager,ExecBoardinAsia,5,10,NA,NA,"Process audit,cyber security,Bfsi,Financial sector,Trend analysis,Manager Technology,data privacy,Continuous improvement","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
56,Security Delivery Manager,ExecBoardinAsia,11,15,NA,NA,"remediation,cyber security,Access management,Staffing,SOC,Firmware,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
57,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,6,8,NA,NA,"Operations management,Automation,orchestration,cyber security,SOC,SIEM,Incident management,Security operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
58,Deputy General Manager - Managed Services Operations,ExecBoardinAsia,8,12,NA,NA,"Product engineering,Managed services,cyber security,SOC,Process improvement,Business strategy,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
59,Security Manager,Optimum InfoSystem Pvt. Ltd.,9,14,NA,NA,"IT Audit,Cyber Security,Information Security,Security Management,Third party risk assesment.3rd party,Govarnance,3rd party security risk","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
60,Program Manager - Cyber Security - Cloud eLearning/EdTech,Simply People,4,7,NA,NA,"academic operations,Cyber Security,Program Manager,program management,Education Operations,eLearning","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
61,Cybersecurity Operations Manager,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,Software Development,c++,python,operations management,Identity Access Management","1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
62,Manager / Senior Manager - Cybersecurity,Protiviti India Member Private limited,8,13,NA,NA,"Mobile Security,SNORT,Cyber Security,Application Security,Oscp,Penetration Testing,Vapt,Ceh","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0"
63,Cybersecurity - IT Policy/governance Regional Manager,SAC Management India,10,15,NA,NA,"Patch management,ISMS,ISO,Staffing,Information security,Process improvement,SMS,Information technology","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
64,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,4,5,NA,NA,"cloud security,cyber security,Information security,OWASP,Security testing,Application security,Mobile applications,Stakeholder management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
65,Assistant Manager - Cyber Security and Privacy,Protiviti India Member Private limited,4,8,NA,NA,"Information Security Management,Cyber Security,Risk Assessment,Management Consulting,Client Relationship Management,Practice Management,Network Security,International Business","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0"
66,Senior Project Manager,ExecBoardinAsia,12,16,NA,NA,"Front office,CSS,cyber security,Information security,Finance,Resourcing,Banking,Network security","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
67,Lead- Cyber Security ( Manager / Sr. Manager),Spark Minda,12,17,NA,NA,"Cism,Cyber Security,Vapt","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
68,Unit Manager - Cyber Security Analyst (attacks and frauds),Bajaj Finance Limited,3,6,5.0,10.0,"Security Analysis,Cyber Security,attack,Fraud Analytics","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
69,"Manager, Cyber Security Engineering",ExecBoardinAsia,11,15,NA,NA,"Training,Career development,cyber security,Coding,Talent acquisition,Agile,Technical Lead,Management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
70,"Manager, Cyber Security Engineering",Infoblox,4,6,NA,NA,"IT Skills,Java,Python,Testing,Cloud,DevOps,Javascript,Computer science","1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0"
71,Technology Risk and Process Manager,ExecBoardinAsia,5,10,NA,NA,"Process audit,cyber security,Bfsi,Financial sector,Trend analysis,Manager Technology,data privacy,Continuous improvement","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
72,Security Delivery Manager,ExecBoardinAsia,11,15,NA,NA,"remediation,cyber security,Access management,Staffing,SOC,Firmware,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
73,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,6,8,NA,NA,"Operations management,Automation,orchestration,cyber security,SOC,SIEM,Incident management,Security operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
74,Deputy General Manager - Managed Services Operations,ExecBoardinAsia,8,12,NA,NA,"Product engineering,Managed services,cyber security,SOC,Process improvement,Business strategy,Security operations,Operations","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
75,Security Manager,Optimum InfoSystem Pvt. Ltd.,9,14,NA,NA,"IT Audit,Cyber Security,Information Security,Security Management,Third party risk assesment.3rd party,Govarnance,3rd party security risk","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
76,Program Manager - Cyber Security - Cloud eLearning/EdTech,Simply People,4,7,NA,NA,"academic operations,Cyber Security,Program Manager,program management,Education Operations,eLearning","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
77,Cybersecurity Operations Manager,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,Software Development,c++,python,operations management,Identity Access Management","1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
78,Manager / Senior Manager - Cybersecurity,Protiviti India Member Private limited,8,13,NA,NA,"Mobile Security,SNORT,Cyber Security,Application Security,Oscp,Penetration Testing,Vapt,Ceh","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0"
79,Cybersecurity - IT Policy/governance Regional Manager,SAC Management India,10,15,NA,NA,"Patch management,ISMS,ISO,Staffing,Information security,Process improvement,SMS,Information technology","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
80,Unit Manager - IT/Senior Unit Manager - IT,Bajaj Finserv Lending Ltd,4,5,NA,NA,"cloud security,cyber security,Information security,OWASP,Security testing,Application security,Mobile applications,Stakeholder management","0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
